
Name,JOHN DOE
Address,"1234 STREET, MOUNTAIN VIEW CA 900003863"
Account Number,8505089847
Service,Service 1

TYPE,DATE,START TIME,END TIME,USAGE (therms),COST,NOTES
Natural gas usage,2025-01-01,00:00,23:59,2.31,$5.78
Natural gas usage,2025-01-02,00:00,23:59,2.23,$5.57
Natural gas usage,2025-01-03,00:00,23:59,1.92,$4.81
Natural gas usage,2025-01-04,00:00,23:59,1.88,$4.70
Natural gas usage,2025-01-05,00:00,23:59,2.48,$6.19
Natural gas usage,2025-01-06,00:00,23:59,2.64,$6.61
Natural gas usage,2025-01-07,00:00,23:59,2.15,$5.37
Natural gas usage,2025-01-08,00:00,23:59,2.19,$5.47
Natural gas usage,2025-01-09,00:00,23:59,1.80,$4.49
Natural gas usage,2025-01-10,00:00,23:59,1.93,$4.82
Natural gas usage,2025-01-11,00:00,23:59,1.79,$4.46
Natural gas usage,2025-01-12,00:00,23:59,2.18,$5.44
Natural gas usage,2025-01-13,00:00,23:59,2.08,$5.21
Natural gas usage,2025-01-14,00:00,23:59,2.18,$5.46
Natural gas usage,2025-01-15,00:00,23:59,1.82,$4.55
Natural gas usage,2025-01-16,00:00,23:59,2.02,$5.05
Natural gas usage,2025-01-17,00:00,23:59,2.30,$5.75
Natural gas usage,2025-01-18,00:00,23:59,1.76,$4.39
Natural gas usage,2025-01-19,00:00,23:59,2.05,$5.13
Natural gas usage,2025-01-20,00:00,23:59,1.75,$4.37
Natural gas usage,2025-01-21,00:00,23:59,2.23,$5.57
Natural gas usage,2025-01-22,00:00,23:59,2.65,$6.63
Natural gas usage,2025-01-23,00:00,23:59,2.03,$5.08
Natural gas usage,2025-01-24,00:00,23:59,1.75,$4.39
Natural gas usage,2025-01-25,00:00,23:59,1.76,$4.40
Natural gas usage,2025-01-26,00:00,23:59,1.95,$4.88
Natural gas usage,2025-01-27,00:00,23:59,2.36,$5.90
Natural gas usage,2025-01-28,00:00,23:59,2.56,$6.40
Natural gas usage,2025-01-29,00:00,23:59,2.26,$5.65
Natural gas usage,2025-01-30,00:00,23:59,2.27,$5.67
Natural gas usage,2025-01-31,00:00,23:59,2.50,$6.25
Natural gas usage,2025-02-01,00:00,23:59,1.70,$4.25
Natural gas usage,2025-02-02,00:00,23:59,1.88,$4.70
Natural gas usage,2025-02-03,00:00,23:59,2.38,$5.96
Natural gas usage,2025-02-04,00:00,23:59,2.23,$5.59
Natural gas usage,2025-02-05,00:00,23:59,2.35,$5.88
Natural gas usage,2025-02-06,00:00,23:59,1.74,$4.34
Natural gas usage,2025-02-07,00:00,23:59,2.34,$5.85
Natural gas usage,2025-02-08,00:00,23:59,2.58,$6.45
Natural gas usage,2025-02-09,00:00,23:59,2.40,$6.01
Natural gas usage,2025-02-10,00:00,23:59,1.78,$4.46
Natural gas usage,2025-02-11,00:00,23:59,1.82,$4.55
Natural gas usage,2025-02-12,00:00,23:59,1.83,$4.57
Natural gas usage,2025-02-13,00:00,23:59,2.65,$6.62
Natural gas usage,2025-02-14,00:00,23:59,2.27,$5.68
